timestamp, temperature.gpu, memory.free [MiB], fan.speed [%], utilization.gpu [%], power.draw [W], clocks.current.sm [MHz], clocks.current.graphics [MHz], clocks.current.memory [MHz]
2019/10/22 15:28:44.097, 34, 10445 MiB, [Not Supported], 0 %, 31.62 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:44.151, 34, 10445 MiB, [Not Supported], 0 %, 31.62 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:44.205, 34, 10445 MiB, [Not Supported], 0 %, 31.59 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:44.259, 34, 10445 MiB, [Not Supported], 0 %, 31.62 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:44.313, 34, 10445 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:44.367, 34, 10445 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:44.421, 34, 10445 MiB, [Not Supported], 0 %, 31.62 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:44.475, 34, 10445 MiB, [Not Supported], 0 %, 31.59 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:44.529, 34, 10445 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:44.583, 34, 10445 MiB, [Not Supported], 0 %, 31.35 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:44.639, 34, 10445 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:44.693, 34, 10445 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:44.747, 34, 10445 MiB, [Not Supported], 0 %, 31.35 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:44.801, 34, 10445 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:44.855, 34, 10445 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:44.909, 34, 10445 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:44.963, 34, 10445 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:45.019, 34, 10445 MiB, [Not Supported], 0 %, 31.35 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:45.073, 34, 10445 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:45.127, 34, 10445 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:45.181, 34, 10445 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:45.235, 34, 10445 MiB, [Not Supported], 0 %, 31.35 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:45.289, 34, 10445 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:45.343, 34, 10445 MiB, [Not Supported], 0 %, 31.35 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:45.399, 34, 10445 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:45.453, 34, 10445 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:45.507, 34, 10445 MiB, [Not Supported], 0 %, 31.35 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:45.560, 34, 10445 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:45.615, 34, 10445 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:45.669, 34, 10445 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:45.723, 34, 10445 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:45.779, 34, 10445 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:45.833, 34, 10445 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:45.887, 34, 10445 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:45.941, 34, 10445 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:45.995, 34, 10445 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:46.049, 34, 10445 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:46.103, 34, 10445 MiB, [Not Supported], 0 %, 31.35 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:46.158, 34, 10445 MiB, [Not Supported], 0 %, 31.35 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:46.212, 34, 10445 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:46.266, 34, 10445 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:46.320, 33, 10445 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:46.374, 34, 10445 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:46.428, 33, 10445 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:46.482, 33, 10445 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:46.538, 33, 10445 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:46.593, 33, 10445 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:46.646, 33, 10445 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:46.700, 33, 10445 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:46.755, 33, 10445 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:46.808, 33, 10445 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:46.862, 33, 10445 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:46.918, 33, 10445 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:46.972, 33, 10445 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:47.026, 33, 10445 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:47.080, 33, 10445 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:47.134, 33, 10445 MiB, [Not Supported], 0 %, 31.35 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:47.188, 34, 10445 MiB, [Not Supported], 0 %, 31.35 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:47.242, 33, 10445 MiB, [Not Supported], 0 %, 31.35 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:47.298, 33, 10445 MiB, [Not Supported], 0 %, 31.35 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:47.352, 33, 10445 MiB, [Not Supported], 0 %, 31.35 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:47.406, 33, 10445 MiB, [Not Supported], 0 %, 31.35 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:47.460, 33, 10445 MiB, [Not Supported], 0 %, 31.35 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:47.514, 33, 10437 MiB, [Not Supported], 0 %, 31.41 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:47.570, 33, 10394 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:47.623, 33, 10192 MiB, [Not Supported], 0 %, 31.35 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:47.678, 33, 10192 MiB, [Not Supported], 0 %, 31.35 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:47.732, 33, 10192 MiB, [Not Supported], 3 %, 31.35 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:47.786, 33, 10192 MiB, [Not Supported], 3 %, 31.35 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:47.840, 33, 10192 MiB, [Not Supported], 3 %, 31.35 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:47.894, 33, 10192 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:47.947, 33, 10192 MiB, [Not Supported], 0 %, 31.35 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:48.001, 33, 10192 MiB, [Not Supported], 0 %, 31.35 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:48.058, 33, 10192 MiB, [Not Supported], 0 %, 31.35 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:48.112, 33, 10192 MiB, [Not Supported], 0 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:48.166, 33, 10192 MiB, [Not Supported], 0 %, 31.35 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:48.219, 33, 10174 MiB, [Not Supported], 0 %, 31.59 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:48.274, 33, 10070 MiB, [Not Supported], 0 %, 31.35 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:48.327, 33, 10070 MiB, [Not Supported], 0 %, 31.35 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:48.381, 33, 10070 MiB, [Not Supported], 6 %, 31.35 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:48.437, 33, 10070 MiB, [Not Supported], 6 %, 31.35 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:48.491, 33, 10070 MiB, [Not Supported], 6 %, 31.37 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:48.545, 33, 10070 MiB, [Not Supported], 0 %, 31.35 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:48.599, 33, 10070 MiB, [Not Supported], 0 %, 31.35 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:48.653, 33, 10070 MiB, [Not Supported], 0 %, 31.35 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:48.707, 33, 10070 MiB, [Not Supported], 4 %, 33.54 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:48.761, 34, 10070 MiB, [Not Supported], 4 %, 99.87 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:48.818, 34, 10070 MiB, [Not Supported], 4 %, 100.85 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/22 15:28:48.872, 34, 10070 MiB, [Not Supported], 89 %, 108.03 W, 1316 MHz, 1316 MHz, 715 MHz
2019/10/22 15:28:48.926, 34, 10070 MiB, [Not Supported], 89 %, 116.65 W, 1316 MHz, 1316 MHz, 715 MHz
2019/10/22 15:28:48.980, 35, 10070 MiB, [Not Supported], 89 %, 118.10 W, 1316 MHz, 1316 MHz, 715 MHz
2019/10/22 15:28:49.034, 35, 10070 MiB, [Not Supported], 100 %, 119.24 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:49.088, 35, 10070 MiB, [Not Supported], 100 %, 120.45 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:49.142, 35, 10070 MiB, [Not Supported], 100 %, 121.66 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:49.196, 35, 10070 MiB, [Not Supported], 100 %, 122.38 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:49.250, 35, 10070 MiB, [Not Supported], 100 %, 123.83 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:49.304, 35, 10070 MiB, [Not Supported], 100 %, 124.31 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:49.360, 36, 10070 MiB, [Not Supported], 100 %, 124.55 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:49.414, 36, 10070 MiB, [Not Supported], 100 %, 124.55 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:49.468, 36, 10070 MiB, [Not Supported], 100 %, 124.55 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:49.522, 36, 10070 MiB, [Not Supported], 100 %, 124.62 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:49.576, 36, 10070 MiB, [Not Supported], 100 %, 124.54 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:49.630, 36, 10070 MiB, [Not Supported], 100 %, 124.55 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:49.684, 36, 10070 MiB, [Not Supported], 100 %, 124.79 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:49.740, 36, 10070 MiB, [Not Supported], 100 %, 63.56 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:49.794, 36, 10070 MiB, [Not Supported], 100 %, 123.59 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:49.848, 36, 10070 MiB, [Not Supported], 100 %, 124.55 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:49.902, 36, 10070 MiB, [Not Supported], 78 %, 124.62 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:49.956, 36, 10070 MiB, [Not Supported], 78 %, 124.55 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:50.010, 36, 10070 MiB, [Not Supported], 78 %, 124.31 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:50.063, 36, 10070 MiB, [Not Supported], 100 %, 124.79 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:50.120, 36, 10070 MiB, [Not Supported], 100 %, 124.79 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:50.174, 36, 10070 MiB, [Not Supported], 100 %, 124.79 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:50.228, 36, 10070 MiB, [Not Supported], 100 %, 124.79 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:50.282, 37, 10070 MiB, [Not Supported], 100 %, 124.87 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:50.336, 37, 10070 MiB, [Not Supported], 100 %, 125.04 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:50.390, 37, 10070 MiB, [Not Supported], 100 %, 124.79 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:50.444, 37, 10070 MiB, [Not Supported], 100 %, 124.79 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:50.500, 37, 10070 MiB, [Not Supported], 100 %, 124.79 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:50.554, 37, 10070 MiB, [Not Supported], 100 %, 125.04 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:50.608, 37, 10070 MiB, [Not Supported], 100 %, 125.04 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:50.662, 37, 10070 MiB, [Not Supported], 100 %, 125.04 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:50.716, 37, 10070 MiB, [Not Supported], 100 %, 101.64 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:50.770, 36, 10070 MiB, [Not Supported], 100 %, 115.76 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:50.824, 37, 10070 MiB, [Not Supported], 100 %, 124.79 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:50.879, 37, 10070 MiB, [Not Supported], 84 %, 125.11 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:50.933, 37, 10070 MiB, [Not Supported], 84 %, 125.11 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:50.987, 37, 10070 MiB, [Not Supported], 84 %, 125.04 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:51.041, 37, 10070 MiB, [Not Supported], 100 %, 125.04 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:51.096, 37, 10070 MiB, [Not Supported], 100 %, 124.79 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:51.150, 37, 10070 MiB, [Not Supported], 100 %, 125.11 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:51.204, 37, 10070 MiB, [Not Supported], 100 %, 125.28 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:51.259, 37, 10070 MiB, [Not Supported], 100 %, 125.28 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:51.313, 37, 10070 MiB, [Not Supported], 100 %, 125.28 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:51.367, 37, 10070 MiB, [Not Supported], 100 %, 125.28 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:51.421, 37, 10070 MiB, [Not Supported], 100 %, 125.35 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:51.476, 37, 10070 MiB, [Not Supported], 100 %, 125.28 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:51.529, 37, 10070 MiB, [Not Supported], 100 %, 125.35 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:51.583, 37, 10070 MiB, [Not Supported], 100 %, 125.28 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:51.639, 37, 10070 MiB, [Not Supported], 100 %, 125.28 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:51.693, 37, 10070 MiB, [Not Supported], 100 %, 125.28 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/22 15:28:51.747, 37, 10070 MiB, [Not Supported], 100 %, 84.80 W, 1328 MHz, 1328 MHz, 715 MHz
